tourney_name	round	surface	winner_name	loser_name	score	winner_rank	loser_rank	w_ace	w_df	w_1stIn	w_1stWon	w_2ndWon	w_bpSaved	w_bpFaced	l_ace	l_df	l_1stIn	l_1stWon	l_2ndWon	l_bpSaved	l_bpFaced	input_text	target_text	input_text_old
Australian Open	R16	Hard	Andrey Rublev	Alex De Minaur	6-4 6-7(5) 6-7(4) 6-3 6-0	5.0	10.0	6.0	6.0	107.0	72.0	40.0	13.0	16.0	6.0	6.0	85.0	54.0	38.0	5.0	13.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Australian Open
Round: R16
Surface: Hard

Winner: Andrey Rublev (rank 5.0)
Loser: Alex De Minaur (rank 10.0)
Score: 6-4 6-7(5) 6-7(4) 6-3 6-0

Winner stats:
- Aces: 6.0
- Double faults: 6.0
- 1st serve in: 107.0
- 1st serve points won: 72.0
- 2nd serve points won: 40.0
- Break points saved: 13.0 out of 16.0

Loser stats:
- Aces: 6.0
- Double faults: 6.0
- 1st serve in: 85.0
- 1st serve points won: 54.0
- 2nd serve points won: 38.0
- Break points saved: 5.0 out of 13.0"	Rublev was in danger of crashing out of the year's first major after losing a dramatic third-set tie-break, but he rebounded by breaking the Australian's opening service games in the fourth and fifth sets to clinch his 300th match win 6-4, 6-7(5), 6-7(4), 6-3, 6-0 after four hours, 14 minutes.	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Australian Open
Surface: Hard
Round: R16

Winner: Andrey Rublev (Rank: 5.0)
Loser: Alex De Minaur (Rank: 10.0)
Score: 6-4 6-7(5) 6-7(4) 6-3 6-0

Winner stats:
- Aces: 6.0
- Double faults: 6.0
- 1st serve in: 107.0
- 1st serve points won: 72.0
- 2nd serve points won: 40.0
- Break points saved: 13.0 out of 16.0

Loser stats:
- Aces: 6.0
- Double faults: 6.0
- 1st serve in: 85.0
- 1st serve points won: 54.0
- 2nd serve points won: 38.0
- Break points saved: 5.0 out of 13.0"
Roland Garros	R16	Clay	Stefanos Tsitsipas	Matteo Arnaldi	3-6 7-6(4) 6-2 6-2	9.0	35.0	7.0	5.0	77.0	57.0	21.0	4.0	6.0	7.0	2.0	88.0	57.0	30.0	16.0	21.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Roland Garros
Round: R16
Surface: Clay

Winner: Stefanos Tsitsipas (rank 9.0)
Loser: Matteo Arnaldi (rank 35.0)
Score: 3-6 7-6(4) 6-2 6-2

Winner stats:
- Aces: 7.0
- Double faults: 5.0
- 1st serve in: 77.0
- 1st serve points won: 57.0
- 2nd serve points won: 21.0
- Break points saved: 4.0 out of 6.0

Loser stats:
- Aces: 7.0
- Double faults: 2.0
- 1st serve in: 88.0
- 1st serve points won: 57.0
- 2nd serve points won: 30.0
- Break points saved: 16.0 out of 21.0"	"Stefanos Tsitsipas found himself in a hole on Sunday at Roland Garros against Italian Matteo Arnaldi. But he dug his way out to reach the quarter-finals in Paris for the fourth time.
The Greek trailed Arnaldi 3-6, 3-5 and was being outplayed on Court Suzanne-Lenglen. However, he saved three set points on serve at 3-5 before he fended off another in the next game to break back for 5-5. The ninth seed then closed out the set and powered to a 3-6, 7-6(4), 6-2, 6-2 victory."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Roland Garros
Surface: Clay
Round: R16

Winner: Stefanos Tsitsipas (Rank: 9.0)
Loser: Matteo Arnaldi (Rank: 35.0)
Score: 3-6 7-6(4) 6-2 6-2

Winner stats:
- Aces: 7.0
- Double faults: 5.0
- 1st serve in: 77.0
- 1st serve points won: 57.0
- 2nd serve points won: 21.0
- Break points saved: 4.0 out of 6.0

Loser stats:
- Aces: 7.0
- Double faults: 2.0
- 1st serve in: 88.0
- 1st serve points won: 57.0
- 2nd serve points won: 30.0
- Break points saved: 16.0 out of 21.0"
Roland Garros	R16	Clay	Alex De Minaur	Daniil Medvedev	4-6 6-2 6-1 6-3	11.0	5.0	7.0	3.0	55.0	42.0	26.0	8.0	10.0	7.0	2.0	65.0	40.0	22.0	7.0	14.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Roland Garros
Round: R16
Surface: Clay

Winner: Alex De Minaur (rank 11.0)
Loser: Daniil Medvedev (rank 5.0)
Score: 4-6 6-2 6-1 6-3

Winner stats:
- Aces: 7.0
- Double faults: 3.0
- 1st serve in: 55.0
- 1st serve points won: 42.0
- 2nd serve points won: 26.0
- Break points saved: 8.0 out of 10.0

Loser stats:
- Aces: 7.0
- Double faults: 2.0
- 1st serve in: 65.0
- 1st serve points won: 40.0
- 2nd serve points won: 22.0
- Break points saved: 7.0 out of 14.0"	"Alex de Minaur is a Roland Garros quarter-finalist for the first time after grinding down Daniil Medvedev on Monday in a battle between two of the fiercest competitors on the ATP Tour.
The 11th-seeded De Minaur upset fifth seed Medvedev 4-6, 6-2, 6-1, 6-3 in a hard-fought encounter on Court Suzanne-Lenglen. The Australian was typically resolute in defence and clinical in dispatching any short balls offered up by his higher-ranked opponent en route to improving to 3-6 in the pair’s Lexus ATP Head2Head series."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Roland Garros
Surface: Clay
Round: R16

Winner: Alex De Minaur (Rank: 11.0)
Loser: Daniil Medvedev (Rank: 5.0)
Score: 4-6 6-2 6-1 6-3

Winner stats:
- Aces: 7.0
- Double faults: 3.0
- 1st serve in: 55.0
- 1st serve points won: 42.0
- 2nd serve points won: 26.0
- Break points saved: 8.0 out of 10.0

Loser stats:
- Aces: 7.0
- Double faults: 2.0
- 1st serve in: 65.0
- 1st serve points won: 40.0
- 2nd serve points won: 22.0
- Break points saved: 7.0 out of 14.0"
Wimbledon	QF	Grass	Carlos Alcaraz	Tommy Paul	5-7 6-4 6-2 6-2	3.0	13.0	7.0	2.0	73.0	48.0	29.0	6.0	10.0	2.0	2.0	82.0	47.0	27.0	19.0	27.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Wimbledon
Round: QF
Surface: Grass

Winner: Carlos Alcaraz (rank 3.0)
Loser: Tommy Paul (rank 13.0)
Score: 5-7 6-4 6-2 6-2

Winner stats:
- Aces: 7.0
- Double faults: 2.0
- 1st serve in: 73.0
- 1st serve points won: 48.0
- 2nd serve points won: 29.0
- Break points saved: 6.0 out of 10.0

Loser stats:
- Aces: 2.0
- Double faults: 2.0
- 1st serve in: 82.0
- 1st serve points won: 47.0
- 2nd serve points won: 27.0
- Break points saved: 19.0 out of 27.0"	"Carlos Alcaraz is digging deep in defence of his Wimbledon crown.
The Spaniard rallied to a 5-7, 6-4, 6-2, 6-2 triumph against the in-form Tommy Paul on Tuesday to book a semi-final spot at the grass-court major. For the third consecutive match, Alcaraz’s resolve was given a stern test by his opponent, but the 21-year-old third seed kept his cool to seal a three-hour, 11-minute comeback victory on Centre Court."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Wimbledon
Surface: Grass
Round: QF

Winner: Carlos Alcaraz (Rank: 3.0)
Loser: Tommy Paul (Rank: 13.0)
Score: 5-7 6-4 6-2 6-2

Winner stats:
- Aces: 7.0
- Double faults: 2.0
- 1st serve in: 73.0
- 1st serve points won: 48.0
- 2nd serve points won: 29.0
- Break points saved: 6.0 out of 10.0

Loser stats:
- Aces: 2.0
- Double faults: 2.0
- 1st serve in: 82.0
- 1st serve points won: 47.0
- 2nd serve points won: 27.0
- Break points saved: 19.0 out of 27.0"
Australian Open	R16	Hard	Alexander Zverev	Cameron Norrie	7-5 3-6 6-3 4-6 7-6(3)	6.0	22.0	15.0	6.0	114.0	87.0	16.0	6.0	10.0	10.0	2.0	106.0	73.0	33.0	10.0	14.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Australian Open
Round: R16
Surface: Hard

Winner: Alexander Zverev (rank 6.0)
Loser: Cameron Norrie (rank 22.0)
Score: 7-5 3-6 6-3 4-6 7-6(3)

Winner stats:
- Aces: 15.0
- Double faults: 6.0
- 1st serve in: 114.0
- 1st serve points won: 87.0
- 2nd serve points won: 16.0
- Break points saved: 6.0 out of 10.0

Loser stats:
- Aces: 10.0
- Double faults: 2.0
- 1st serve in: 106.0
- 1st serve points won: 73.0
- 2nd serve points won: 33.0
- Break points saved: 10.0 out of 14.0"	"Alexander Zverev’s rock-solid Aussie summer rumbled on Monday in Melbourne.
The sixth-seeded German pulled through for a dramatic 7-5, 3-6, 6-3, 4-6, 7-6(10-3) triumph against Cameron Norrie to book his quarter-final spot at the Australian Open. In a roller-coaster match full of twists and turns, Zverev held his nerve in a deciding-set Match Tie-break to improve to 8-1 Down Under so far this season."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Australian Open
Surface: Hard
Round: R16

Winner: Alexander Zverev (Rank: 6.0)
Loser: Cameron Norrie (Rank: 22.0)
Score: 7-5 3-6 6-3 4-6 7-6(3)

Winner stats:
- Aces: 15.0
- Double faults: 6.0
- 1st serve in: 114.0
- 1st serve points won: 87.0
- 2nd serve points won: 16.0
- Break points saved: 6.0 out of 10.0

Loser stats:
- Aces: 10.0
- Double faults: 2.0
- 1st serve in: 106.0
- 1st serve points won: 73.0
- 2nd serve points won: 33.0
- Break points saved: 10.0 out of 14.0"
Us Open	R16	Hard	Taylor Fritz	Casper Ruud	3-6 6-4 6-3 6-2	12.0	8.0	24.0	7.0	63.0	53.0	22.0	5.0	6.0	4.0	8.0	70.0	56.0	18.0	6.0	10.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Us Open
Round: R16
Surface: Hard

Winner: Taylor Fritz (rank 12.0)
Loser: Casper Ruud (rank 8.0)
Score: 3-6 6-4 6-3 6-2

Winner stats:
- Aces: 24.0
- Double faults: 7.0
- 1st serve in: 63.0
- 1st serve points won: 53.0
- 2nd serve points won: 22.0
- Break points saved: 5.0 out of 6.0

Loser stats:
- Aces: 4.0
- Double faults: 8.0
- 1st serve in: 70.0
- 1st serve points won: 56.0
- 2nd serve points won: 18.0
- Break points saved: 6.0 out of 10.0"	"Taylor Fritz gained revenge against Casper Ruud on Sunday at the US Open, where he overcame the Norwegian 3-6, 6-4, 6-3, 6-2 to reach the quarter-finals in New York for the second consecutive year.
The American fell to Ruud in the fourth round at Roland Garros earlier this year but ensured history would not repeat itself under the roof on Louis Armstrong Stadium. In a statement display, Fritz fired 56 winners to Ruud’s 32 and used the energy of the home crowd to triumph after two hours and 44 minutes."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Us Open
Surface: Hard
Round: R16

Winner: Taylor Fritz (Rank: 12.0)
Loser: Casper Ruud (Rank: 8.0)
Score: 3-6 6-4 6-3 6-2

Winner stats:
- Aces: 24.0
- Double faults: 7.0
- 1st serve in: 63.0
- 1st serve points won: 53.0
- 2nd serve points won: 22.0
- Break points saved: 5.0 out of 6.0

Loser stats:
- Aces: 4.0
- Double faults: 8.0
- 1st serve in: 70.0
- 1st serve points won: 56.0
- 2nd serve points won: 18.0
- Break points saved: 6.0 out of 10.0"
Roland Garros	F	Clay	Carlos Alcaraz	Alexander Zverev	6-3 2-6 5-7 6-1 6-2	3.0	4.0	3.0	6.0	96.0	62.0	31.0	17.0	23.0	8.0	6.0	97.0	61.0	12.0	7.0	16.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Roland Garros
Round: F
Surface: Clay

Winner: Carlos Alcaraz (rank 3.0)
Loser: Alexander Zverev (rank 4.0)
Score: 6-3 2-6 5-7 6-1 6-2

Winner stats:
- Aces: 3.0
- Double faults: 6.0
- 1st serve in: 96.0
- 1st serve points won: 62.0
- 2nd serve points won: 31.0
- Break points saved: 17.0 out of 23.0

Loser stats:
- Aces: 8.0
- Double faults: 6.0
- 1st serve in: 97.0
- 1st serve points won: 61.0
- 2nd serve points won: 12.0
- Break points saved: 7.0 out of 16.0"	"The third seed on Sunday outlasted Alexander Zverev 6-3, 2-6, 5-7, 6-1, 6-2 to lift the trophy at Roland Garros. With his four-hour, 19-minute win in Paris, the 21-year-old Alcaraz became the first champion at the clay-court major to win a semi-final and final each in five sets since Rod Laver in 1962.
Just as he did against Jannik Sinner in the semi-finals, Alcaraz kept cool after falling two-sets-to-one behind to secure a gritty victory against Zverev. The Spaniard, who arrived at Roland Garros having not competed for three weeks due to a right arm injury, raised his level to win 12 of the final 15 games and secure a major crown for the third consecutive season."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Roland Garros
Surface: Clay
Round: F

Winner: Carlos Alcaraz (Rank: 3.0)
Loser: Alexander Zverev (Rank: 4.0)
Score: 6-3 2-6 5-7 6-1 6-2

Winner stats:
- Aces: 3.0
- Double faults: 6.0
- 1st serve in: 96.0
- 1st serve points won: 62.0
- 2nd serve points won: 31.0
- Break points saved: 17.0 out of 23.0

Loser stats:
- Aces: 8.0
- Double faults: 6.0
- 1st serve in: 97.0
- 1st serve points won: 61.0
- 2nd serve points won: 12.0
- Break points saved: 7.0 out of 16.0"
Us Open	QF	Hard	Frances Tiafoe	Grigor Dimitrov	6-3 6-7(5) 6-3 4-1 RET	20.0	9.0	3.0	5.0	53.0	39.0	36.0	3.0	4.0	8.0	11.0	71.0	53.0	22.0	8.0	14.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Us Open
Round: QF
Surface: Hard

Winner: Frances Tiafoe (rank 20.0)
Loser: Grigor Dimitrov (rank 9.0)
Score: 6-3 6-7(5) 6-3 4-1 RET

Winner stats:
- Aces: 3.0
- Double faults: 5.0
- 1st serve in: 53.0
- 1st serve points won: 39.0
- 2nd serve points won: 36.0
- Break points saved: 3.0 out of 4.0

Loser stats:
- Aces: 8.0
- Double faults: 11.0
- 1st serve in: 71.0
- 1st serve points won: 53.0
- 2nd serve points won: 22.0
- Break points saved: 8.0 out of 14.0"	"Frances Tiafoe advanced to his second major semi-final Tuesday at the US Open, where Grigor Dimitrov was forced to retire with the American leading 6-3, 6-7(5), 6-3, 4-1.
During the latter stages of the eighth game in the third set, Dimitrov’s movement and baseline firepower quickly dropped off, seemingly due to a leg issue. The Bulgarian called the physio at the end of the third set and went off court to receive treatment.
Dimitrov tried his best to continue on, but was clearly hindered. He retired three hours and four minutes into what was a thrilling quarter-final battle prior to the ninth seed’s injury."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Us Open
Surface: Hard
Round: QF

Winner: Frances Tiafoe (Rank: 20.0)
Loser: Grigor Dimitrov (Rank: 9.0)
Score: 6-3 6-7(5) 6-3 4-1 RET

Winner stats:
- Aces: 3.0
- Double faults: 5.0
- 1st serve in: 53.0
- 1st serve points won: 39.0
- 2nd serve points won: 36.0
- Break points saved: 3.0 out of 4.0

Loser stats:
- Aces: 8.0
- Double faults: 11.0
- 1st serve in: 71.0
- 1st serve points won: 53.0
- 2nd serve points won: 22.0
- Break points saved: 8.0 out of 14.0"
Roland Garros	R16	Clay	Carlos Alcaraz	Felix Auger Aliassime	6-3 6-3 6-1	3.0	21.0	1.0	2.0	53.0	40.0	14.0	4.0	5.0	0.0	5.0	48.0	29.0	14.0	10.0	16.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Roland Garros
Round: R16
Surface: Clay

Winner: Carlos Alcaraz (rank 3.0)
Loser: Felix Auger Aliassime (rank 21.0)
Score: 6-3 6-3 6-1

Winner stats:
- Aces: 1.0
- Double faults: 2.0
- 1st serve in: 53.0
- 1st serve points won: 40.0
- 2nd serve points won: 14.0
- Break points saved: 4.0 out of 5.0

Loser stats:
- Aces: 0.0
- Double faults: 5.0
- 1st serve in: 48.0
- 1st serve points won: 29.0
- 2nd serve points won: 14.0
- Break points saved: 10.0 out of 16.0"	"Carlos Alcaraz wasted little time in reaching the quarter-finals at Roland Garros for the third consecutive year on Sunday, when he dispatched Canadian Felix Auger-Aliassime to gain parity in the pair’s Lexus ATP Head2Head series.
The Spaniard played front-foot tennis throughout the two-hour, 20-minute clash on Court Philippe-Chatrier to advance 6-3, 6-3, 6-1."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Roland Garros
Surface: Clay
Round: R16

Winner: Carlos Alcaraz (Rank: 3.0)
Loser: Felix Auger Aliassime (Rank: 21.0)
Score: 6-3 6-3 6-1

Winner stats:
- Aces: 1.0
- Double faults: 2.0
- 1st serve in: 53.0
- 1st serve points won: 40.0
- 2nd serve points won: 14.0
- Break points saved: 4.0 out of 5.0

Loser stats:
- Aces: 0.0
- Double faults: 5.0
- 1st serve in: 48.0
- 1st serve points won: 29.0
- 2nd serve points won: 14.0
- Break points saved: 10.0 out of 16.0"
Australian Open	R16	Hard	Hubert Hurkacz	Arthur Cazaux	7-6(6) 7-6(3) 6-4	9.0	122.0	11.0	1.0	54.0	49.0	25.0	0.0	1.0	18.0	2.0	68.0	53.0	24.0	6.0	8.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Australian Open
Round: R16
Surface: Hard

Winner: Hubert Hurkacz (rank 9.0)
Loser: Arthur Cazaux (rank 122.0)
Score: 7-6(6) 7-6(3) 6-4

Winner stats:
- Aces: 11.0
- Double faults: 1.0
- 1st serve in: 54.0
- 1st serve points won: 49.0
- 2nd serve points won: 25.0
- Break points saved: 0.0 out of 1.0

Loser stats:
- Aces: 18.0
- Double faults: 2.0
- 1st serve in: 68.0
- 1st serve points won: 53.0
- 2nd serve points won: 24.0
- Break points saved: 6.0 out of 8.0"	"Big-serving Hubert Hurkacz ended the dream run of French wildcard Arthur Cazaux 7-6 (8/6), 7-6 (7/3), 6-4 on Monday to advance to his first Australian Open quarter-final.

Cazaux, 21, raced into a 3-0 lead in the first set but was pegged back by ninth-seed Hurkacz, who came out on top in the tie-break on John Cain Arena.
There were no breaks in a serve-dominated second set but the 26-year-old Pole again won the tie-break to take a firm grip on the match. 
He broke his 122nd-ranked opponent in the first game of the third set and never looked back."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Australian Open
Surface: Hard
Round: R16

Winner: Hubert Hurkacz (Rank: 9.0)
Loser: Arthur Cazaux (Rank: 122.0)
Score: 7-6(6) 7-6(3) 6-4

Winner stats:
- Aces: 11.0
- Double faults: 1.0
- 1st serve in: 54.0
- 1st serve points won: 49.0
- 2nd serve points won: 25.0
- Break points saved: 0.0 out of 1.0

Loser stats:
- Aces: 18.0
- Double faults: 2.0
- 1st serve in: 68.0
- 1st serve points won: 53.0
- 2nd serve points won: 24.0
- Break points saved: 6.0 out of 8.0"
